time,pH,H+,NO2-,NO3-,H2O2,HONO_total,HONO2_total,H2O2_total,ONOOH_total,O3,NO,Cl-,OH,O3-,HClO
228.0,4.50199005517811,3.147820394581392e-05,2.2819953405170102e-06,3.683898322954153e-05,6.953907271897795e-06,2.4624319667458727e-06,3.6839036234631964e-05,6.953907766457752e-06,1.445927275947942e-11,3.823514772359294e-09,1e-30,0.15400001494540774,2.462473054983509e-14,9.3887882359395e-15,4.1854443640337006e-10
229.0,4.499634243535743,3.164942005967496e-05,2.289146441563723e-06,3.7036077519318244e-05,6.984182302995686e-06,2.4711330086643138e-06,3.70361310978417e-05,6.984182797021691e-06,4.790769181708006e-12,3.86509001152869e-09,1e-30,0.15400001493021254,2.3352720224385728e-14,7.712962725561936e-15,4.245029919591238e-10
230.0,4.497319086299342,3.181858876669799e-05,2.296182735913492e-06,3.723122250564368e-05,7.0144449743796664e-06,2.4797044095011445e-06,3.7231276654365605e-05,7.0144454679083505e-06,1.84296487988218e-12,3.867801565627725e-09,1e-30,0.154000014916783,1.5678960628267758e-14,7.292562848980469e-15,4.39998802179057e-10
231.0,4.495007510432131,3.198839790368031e-05,2.303116352201576e-06,3.742709177814462e-05,7.044684944115642e-06,2.4881745670291755e-06,3.7427146502237546e-05,7.044685437140805e-06,1.1043446470434406e-12,3.856268005211714e-09,1e-30,0.15400001489929555,1.528763197954641e-14,8.808471865406871e-15,4.559036090388469e-10
232.0,4.492756549732498,3.215462509135015e-05,2.3100885190710255e-06,3.761938171374056e-05,7.074956045524528e-06,2.496671519209626e-06,3.7619437004824465e-05,7.0749565381085216e-06,8.377748297862191e-13,3.850633138605279e-09,1e-30,0.15400001490953305,1.9694695426894382e-14,8.513222414626805e-15,4.5323390068187574e-10
233.0,4.490495634450796,3.2322456939233324e-05,2.316996157054859e-06,3.7813327876531716e-05,7.105216380541038e-06,2.5051138651851904e-06,3.7813383742748975e-05,7.105216872663221e-06,7.788358404051292e-13,3.8373393566906435e-09,1e-30,0.15400001490828213,1.9424623749823383e-14,8.08279618479357e-15,4.5117503283952206e-10
234.0,4.488248155414964,3.2490159590191555e-05,2.3238153485902344e-06,3.800699131164958e-05,7.135377367768806e-06,2.5134656164536903e-06,3.800704775533155e-05,7.135377859429061e-06,8.897597363387052e-13,3.824017911616106e-09,1e-30,0.1540000149542498,1.79316937701903e-14,7.54554856339339e-15,5.160980870523223e-10
235.0,4.486018356837048,3.265740281910108e-05,2.330739402764735e-06,3.820029270461155e-05,7.165660391447348e-06,2.5219338879999886e-06,3.8200349727384646e-05,7.165660882665693e-06,6.850380684422867e-13,3.814202972176373e-09,1e-30,0.15400001496693086,1.442132388829582e-14,7.448080041755341e-15,5.037160534060704e-10
236.0,4.483783750073507,3.2825870354833436e-05,2.3376004585022686e-06,3.8394887516252404e-05,7.195919817545328e-06,2.5303469731794848e-06,3.839494512516126e-05,7.195920308306354e-06,6.703442650323978e-13,3.795740170342203e-09,1e-30,0.15400001497141413,1.4300272707057725e-14,7.156991742397257e-15,4.985596648345551e-10
237.0,4.481577075253607,3.299308491181759e-05,2.344476547586112e-06,3.858820695198961e-05,7.226192454485552e-06,2.5387747655778404e-06,3.858826514589769e-05,7.226192944813444e-06,6.591587650096568e-13,3.784011651390957e-09,1e-30,0.1540000149812299,1.4430547563243923e-14,6.727642522099384e-15,4.912833137397674e-10
238.0,4.479360385124326,3.316191599909411e-05,2.3513185017827808e-06,3.8783154854607074e-05,7.256462745081214e-06,2.5471809036953787e-06,3.878321364180352e-05,7.256463234956302e-06,6.773377019705032e-13,3.769192313035901e-09,1e-30,0.15400001498284033,1.5211368570023306e-14,6.530186769604149e-15,4.881641350993445e-10
239.0,4.4771559382961446,3.333067137675653e-05,2.3580809849728796e-06,3.897807445434116e-05,7.286695136817223e-06,2.5555062719392887e-06,3.89781338376568e-05,7.286695626242661e-06,7.706545239699085e-13,3.75218084303445e-09,1e-30,0.1540000149766861,1.2370180399194099e-14,6.151062822803594e-15,4.946121286315498e-10
240.0,4.474950747768791,3.3500342888937094e-05,2.364935154319442e-06,3.917384478382193e-05,7.3169885265466595e-06,2.563942216838946e-06,3.917390476920691e-05,7.316989015517681e-06,6.669357929944897e-13,3.740339264849529e-09,1e-30,0.15400001498840044,1.4483697291697796e-14,4.832990913287495e-15,4.812498029233697e-10
241.0,4.472742854609435,3.367108765863348e-05,2.3716513251963033e-06,3.937077009446309e-05,7.347211934398581e-06,2.572240728183879e-06,3.937083068866296e-05,7.347212422899541e-06,7.623872872129714e-13,3.7200544182200492e-09,1e-30,0.1540000149760141,1.423509910926791e-14,5.915182991406451e-15,4.919749595653579e-10
242.0,4.470552577696266,3.384132995088203e-05,2.3784383439147526e-06,3.9567141432543454e-05,7.377475518036227e-06,2.5806188689536314e-06,3.956720263686635e-05,7.377476006081774e-06,6.903594854353664e-13,3.7083278275738294e-09,1e-30,0.15400001498040242,1.3136717863796342e-14,5.771609924799829e-15,4.885940645892498e-10
