time,OH,O3,H2O2,HO2,O2-,ONOOH,O2NOOH,O3-,NO3,Cl,Cl2-,HOCl-,Cl2,HClO,ClO-,ClNO2,HOClH,ClO,ClO2,Cl2O2,HClO2,ClO2-,NO2-,NO3-,NO,NO2,N2O3,N2O4,N2O5,HONO,HONO2,ONOO-,O2NOO-,HO2-,O-,H,HO3,Cl-,H+,OH-,O2,pH,HONO_total,HONO2_total,H2O2_total,HO2_total,ONOOH_total,O2NOOH_total,HClO_total,HClO2_total
10.0,5.1382131205807785e-17,8.781850210857246e-09,3.351742752775696e-07,2.2873804115265984e-16,8.805654994586949e-15,7.63146072545797e-16,2.5664620584470862e-15,4.090372935063021e-17,2.146970067924898e-26,1.2782541368355314e-17,1e-30,1e-30,1e-30,1.560901994830278e-11,1.1989440143275865e-12,9.956202393842939e-11,1e-30,1.1279194035173168e-16,7.046108699018745e-23,1.9080507812321977e-25,3.5908121816884715e-23,9.786242157387916e-19,1.8244124068453707e-07,5.119032507654701e-07,1e-30,2.529317755725233e-10,1e-30,3.662593726621781e-15,1e-30,1.8866865298955402e-10,9.633067851383292e-15,4.65619265806384e-16,7.84798413445601e-15,1.822610832805719e-12,1e-30,1e-30,1e-30,0.15399999988529098,4.116960799651973e-07,2.4289762488983013e-08,0.0002500030778539868,6.385423268192188,1.8262990933752662e-07,5.119032603985379e-07,3.3517609788840245e-07,9.034393035739608e-15,1.2287653383521809e-15,1.0414446192903096e-14,1.6807963962630367e-11,9.786601238606085e-19
11.0,6.61025749748463e-16,9.786172474192538e-09,3.6564518224577046e-07,2.55831721571092e-16,8.75329442997157e-15,4.789866939855097e-16,3.5091808971657614e-15,9.26822275631962e-19,2.6411395867888673e-25,1e-30,1e-30,1e-30,1e-30,1.8528160658200238e-11,1.2648803660568247e-12,1.0747621590800203e-10,1e-30,1.3784830780002986e-16,1.0029674453082606e-22,2.8468517531282077e-25,5.16027762014544e-23,1.2499430052949085e-18,1.9825203040123416e-07,5.823710107272115e-07,1e-30,2.407147204112521e-10,1e-30,3.322235361119777e-15,1e-30,2.3067498462801284e-10,1.2330554441559538e-14,2.597410504597328e-16,9.537244138606575e-15,1.7671645833066129e-12,4.005037443416196e-15,1e-30,2.2818136452686425e-16,0.15399999987493102,4.6321525818359544e-07,2.1588235325435888e-08,0.00025000410453629093,6.33421714350385,1.9848270538586216e-07,5.823710230577659e-07,3.656469494103538e-07,9.009126151542662e-15,7.387277444452425e-16,1.3046425035772337e-14,1.9793041024257063e-11,1.2499946080711099e-18
12.0,1.5693702725512504e-16,1.0721412912916243e-08,3.9611616327142433e-07,2.675454839405738e-16,8.20763985634026e-15,8.759314024356024e-16,4.3903911466313696e-15,6.943202721571943e-17,9.825298284506017e-26,3.7165290196882086e-17,1e-30,4.235227571567591e-17,1e-30,2.1676529636671524e-11,1.3268151474539207e-12,1.1169519811725449e-10,4.518925740285835e-16,1.8293977141571178e-16,1.3571872774042464e-22,5.019206539134376e-25,7.108576870390462e-23,1.5438437047095222e-18,2.1386434399572287e-07,6.549235070710552e-07,1e-30,2.3283971500489305e-10,1e-30,3.112418693869788e-15,1e-30,2.7753497249503784e-10,1.5465711755424577e-14,4.2588344977154564e-16,1.0698524387812268e-14,1.7164977202865133e-12,2.2784014736865894e-21,1e-30,1.992491697950941e-15,0.15399999986854898,5.166296567503179e-07,1.9356225236664844e-08,0.00025000532285399314,6.28682066708773,2.1414187896821792e-07,6.54923522536767e-07,3.961178797691446e-07,8.475185340280834e-15,1.301814852207148e-15,1.5088915534443638e-14,2.3003344784125444e-11,1.5439147904782261e-18
13.0,1.1055862740188534e-15,1.1572500218795974e-08,4.26586615505904e-07,1e-30,1e-30,6.109963470338137e-16,1.9612767363877235e-15,2.132088904969101e-16,5.147866275252395e-25,1e-30,4.562437728300436e-15,3.6980565238689113e-16,4.242418590956887e-14,2.552975445150168e-11,1.4104321581028233e-12,1.1628896159990666e-10,5.4034636455066744e-17,1.9276534606295593e-16,1.7621022923715582e-22,5.572990226186615e-25,9.472967061651895e-23,1.8569131463446953e-18,2.2927474799579925e-07,7.300214752804767e-07,1e-30,2.2473164189680913e-10,1e-30,2.903892378749292e-15,1e-30,3.296481638835277e-10,1.9099855096062978e-14,2.6812924012657566e-16,4.313645392923503e-15,1.6684484340542371e-12,1.852016036548481e-15,1e-30,1.8828376189707473e-16,0.15399999985992446,5.723931612574765e-07,1.7470509217879622e-08,0.000250006737501709,6.242305563671667,2.2960439615968279e-07,7.300214943803318e-07,4.26588283954338e-07,2e-30,8.791255871603894e-16,6.274922129311227e-15,2.69401866096045e-11,1.8570078760153118e-18
14.0,3.522668746121302e-16,1.2328001632621578e-08,4.570571747109839e-07,4.963138243584501e-16,1.244252688189508e-14,4.544952084756669e-16,2.1037175570197843e-15,2.2715464247784495e-16,1.3692137114302186e-23,9.63613271254043e-16,4.2938557634455944e-16,3.4466953669029445e-18,9.377688151092957e-15,2.952567125776019e-11,1.4769030774140859e-12,1.2447357783106704e-10,1e-30,2.0441445070660252e-16,2.213495549209054e-22,6.266131415900653e-25,1.233730327232307e-22,2.189638678787557e-18,2.4447931036934603e-07,8.093555663045822e-07,1e-30,2.1818032743496704e-10,1e-30,2.7424237206659574e-15,1e-30,3.8823071911323536e-10,2.3387679969021612e-14,1.8058493803801945e-16,4.189282493976849e-15,1.618537425989552e-12,2.3685346251380526e-18,1e-30,1.5289150046640245e-18,0.15399999984775165,6.321902367714583e-07,1.581802346564089e-08,0.0002500083507722033,6.199152215470533,2.4486754108845927e-07,8.093555896922622e-07,4.570587932484099e-07,1.2938840706253531e-14,6.350801465136864e-16,6.293000050996633e-15,3.100257433517428e-11,2.18976205182028e-18
15.0,1e-30,1.2982426508324053e-08,4.875275606977923e-07,1e-30,1e-30,1.0152910536271452e-15,4.701895984509896e-15,2.6681528355009054e-17,1e-30,1e-30,1e-30,1.892859342960066e-16,6.785244738468795e-15,3.330469245726648e-11,1.5153947306402952e-12,1.30899683120465e-10,1e-30,3.0676591903334513e-16,2.685483302369224e-22,1.4119404538523474e-24,1.5626345163332156e-22,2.5227705826079466e-18,2.5947904164797153e-07,8.918896045832102e-07,1e-30,2.143072773918489e-10,1e-30,2.6505907418026854e-15,1e-30,4.529830380021216e-10,2.8332882261959356e-14,3.6695339027637466e-16,8.517131695754616e-15,1.5704333780944975e-12,6.312237283757014e-15,1e-30,1e-30,0.15399999983847396,6.94991758958355e-07,1.4388659823805502e-08,0.00025001016229628194,6.158020345136694,2.5993202468597366e-07,8.918896329160925e-07,4.875291311311705e-07,2e-30,1.3822444439035198e-15,1.3219027680264512e-14,3.4820087187906775e-11,2.52292684605958e-18
16.0,1.627191709921268e-16,1.353628397510514e-08,5.179981822315296e-07,6.135632498247783e-16,1.2810464196044771e-14,5.655559245526902e-16,3.069957376846591e-15,2.2816211851573e-16,1.3174022118303708e-23,3.8679713894828086e-17,3.24093335295447e-17,1e-30,2.654587686654823e-14,3.744305961896956e-11,1.5598285220908252e-12,1.334691636569335e-10,4.9926461858561354e-17,3.265848700380549e-16,3.1647776789893545e-22,1.599601015880071e-24,1.9288908380907933e-22,2.8511047797591692e-18,2.7428122483321195e-07,9.759122197710342e-07,1e-30,2.1081424045053626e-10,1e-30,2.5686776821568406e-15,1e-30,5.22986588913404e-10,3.386142479717531e-14,1.8714623057933877e-16,5.0914076844098824e-15,1.5276848213606995e-12,9.175303509613544e-18,1e-30,1.0065807478828248e-16,0.1539999998316822,7.590921007310939e-07,1.3173632014308722e-08,0.0002500121649792058,6.1197055279086525,2.7480421142212536e-07,9.75912253632459e-07,5.17999709916351e-07,1.342402744586955e-14,7.52702155132029e-16,8.161365061256473e-15,3.900288814106039e-11,2.8512976688429784e-18
17.0,3.089457904806592e-15,1.3989144366112935e-08,5.48468771777215e-07,9.104383997193422e-16,1.7463413996858793e-14,4.931414373112615e-16,3.3638075153047813e-15,2.7203252841735495e-16,1e-30,1e-30,6.9320714383251745e-15,1e-30,3.1383380892890844e-14,4.1668777947274915e-11,1.5947380141764701e-12,1.3991370779952247e-10,1.6467101065040784e-16,3.5432869045412737e-16,3.635927334390736e-22,1.883172878198534e-24,2.3340035194827213e-22,3.1694221561548605e-18,2.888907467174725e-07,1.0632007840915384e-06,1e-30,2.0829893213355503e-10,1e-30,2.512487490825354e-15,1e-30,5.995909214353067e-10,4.015472955346008e-14,1.4991672269848046e-16,5.1251870427045e-15,1.4860399608908213e-12,2.149486502290406e-17,1e-30,1.3137967817833675e-16,0.15399999982096935,8.262689197713141e-07,1.21025973030278e-08,0.0002500143532828707,6.08287858298805,2.894903376389078e-07,1.063200824246268e-06,5.484702578171759e-07,1.8373852396578135e-14,6.430581600097419e-16,8.488994558009281e-15,4.326351596145139e-11,3.1696555565068088e-18
18.0,3.624251361896762e-16,1.4350951169028009e-08,5.789393084905954e-07,5.601801666453378e-16,9.911969050774326e-15,3.6401393340471603e-16,2.5673344917435335e-15,1.9032690198691438e-16,1.3111299200577869e-23,8.648883094235376e-17,4.705628048287621e-16,3.49743306872804e-17,1.6597540962290152e-14,4.611264278033045e-11,1.6279918329419e-12,1.4443969663943052e-10,1.9351744081202946e-30,3.702469797593016e-16,4.091177765593418e-22,2.0557599816723986e-24,2.7751215067359747e-22,3.476275695517739e-18,3.0331597519798644e-07,1.1529295897464854e-06,1e-30,2.0676649417434776e-10,1e-30,2.4796922791272112e-15,1e-30,6.824378022065703e-10,4.720310600501554e-14,1.0208224591417994e-16,3.608399919199825e-15,1.446989057694639e-12,4.599075192366108e-20,1e-30,3.5843408041166e-17,0.15399999981200888,8.957107595070335e-07,1.1164318273349351e-08,0.0002500167187883919,6.047832208897665,3.03998413000193e-07,1.1529296369495914e-06,5.789407554796531e-07,1.0472149217419664e-14,4.660961793188959e-16,6.175734410943359e-15,4.774063461327235e-11,3.4765532076684124e-18
19.0,8.382669999310985e-16,1.4626815853901368e-08,6.094100263738082e-07,9.256270679439115e-16,1.5161589305713047e-14,4.213551680538328e-16,3.531077009111219e-15,4.0196988801639074e-16,1e-30,1.9752988333713737e-16,1e-30,1e-30,2.658313814998287e-15,5.032312109779646e-11,1.644660458040867e-12,1.4972826229951192e-10,4.86771398398138e-18,4.0257775136590845e-16,4.513806396709605e-22,2.4301292854547357e-24,3.244975378957749e-22,3.762877569927747e-18,3.1756611346032724e-07,1.245265290141825e-06,1e-30,2.0603110334130194e-10,1e-30,2.466186617059833e-15,1e-30,7.718367830646814e-10,5.50748344942341e-14,1.093848076132831e-16,4.59426319608848e-15,1.4099972884404277e-12,1.9384927207395287e-15,1e-30,3.5740977572212777e-16,0.15399999980260784,9.67589880692295e-07,1.0334957195754425e-08,0.00025001925240997387,6.014308682251536,3.183379502433919e-07,1.2452653452166593e-06,6.094114363710967e-07,1.608721637365696e-14,5.307399756671159e-16,8.1253402051997e-15,5.1967781555837326e-11,3.763202067465643e-18
