Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight
37.0,1827500717427567.2,0.0,550780935651794.06,62796893563686.89,0.0,317975179972147.94,0.0,0.0,0.9985700447097726,O3_dominant,0.0
38.0,1831596535998732.0,0.0,558118299510299.7,67979887707165.88,0.0,329077854248553.94,0.0,0.0,0.9984409049407377,O3_dominant,0.0
39.0,1834599110240518.8,0.0,566411825283943.6,62059174369130.414,0.0,340097700455050.8,0.0,0.0,0.9985378783486258,O3_dominant,0.0
40.0,1838117722293274.2,0.0,587711548863501.1,66940134494130.89,0.0,342611198029615.3,0.0,0.0,0.9984946258087205,O3_dominant,0.0
41.0,1843898901007778.0,0.0,595519664158370.9,68541810707519.305,0.0,338097844458780.25,0.0,0.0,0.9984953598398862,O3_dominant,0.0
42.0,1853957908943250.8,0.0,566117964847286.2,74020225201285.47,0.0,341954225477640.6,0.0,0.0,0.998422520152607,O3_dominant,0.0
43.0,1859504572061833.8,0.0,613163068957137.1,67096860149984.04,0.0,334996536657033.75,0.0,0.0,0.9984916464886225,O3_dominant,0.0
44.0,1868889271152464.5,0.0,638014722826962.9,76174784486150.83,0.0,329640578426680.2,0.0,0.0,0.998384573663927,O3_dominant,0.0
45.0,1872840848540148.5,0.0,653025565404120.5,74391163972740.73,0.0,337660981055525.8,0.0,0.0,0.9984008619204789,O3_dominant,0.0
46.0,1878988983979119.2,0.0,681393695046208.1,81589625296719.38,0.0,349013796879286.3,0.0,0.0,0.9982849382911769,O3_dominant,0.0
47.0,1885540459706907.0,0.0,754609354172015.2,82861485799047.34,0.0,335112891174321.25,0.0,0.0,0.9982516442989461,O3_dominant,0.0
48.0,1887349600242799.2,0.0,733929506590135.2,82662732079117.02,0.0,350177030708483.3,0.0,0.0,0.9982366786433233,O3_dominant,0.0
49.0,1892277588125247.2,0.0,745569016726013.4,84696227621635.11,0.0,343167904323157.9,0.0,0.0,0.9982806320307309,O3_dominant,0.0
50.0,1898380384119498.2,0.0,679231875656507.6,81067653580430.27,0.0,348964044683912.1,0.0,0.0,0.9982481441524179,O3_dominant,0.0
51.0,1902472639994811.0,0.0,711024636144039.8,84031276586802.1,0.0,344470661701949.5,0.0,0.0,0.9982689516360729,O3_dominant,0.0
52.0,1906954928237109.0,0.0,792680342382795.2,92671059504540.31,0.0,373085742895258.3,0.0,0.0,0.9980949080310316,O3_dominant,0.0
53.0,1911170744685955.2,0.0,758460430597864.5,91958875145901.02,0.0,373708062221869.0,0.0,0.0,0.9982588420934405,O3_dominant,0.0
54.0,1914875873238637.0,0.0,743685326035085.0,85637602836392.25,0.0,371229887834288.6,0.0,0.0,0.9982379281973545,O3_dominant,0.0
55.0,1919149219305968.8,0.0,882718095121867.1,97995615428000.42,0.0,370582877452470.8,0.0,0.0,0.9980504302782298,O3_dominant,0.0
56.0,1918072929983553.0,0.0,764776889605162.9,90172342057488.03,0.0,376490592240425.6,0.0,0.0,0.9981488279512643,O3_dominant,0.0
57.0,1921280821462839.2,0.0,846288610387045.2,97657748416706.0,0.0,376341235061503.9,0.0,0.0,0.9980987050413508,O3_dominant,0.0
58.0,1920296620696414.2,0.0,757635426124758.5,87666848312217.7,0.0,357064453759692.3,0.0,0.0,0.9981500013262614,O3_dominant,0.0
59.0,1921036465003752.5,0.0,798132601543216.2,98861025712641.72,0.0,369912095024810.25,0.0,0.0,0.9980352391754869,O3_dominant,0.0
60.0,1919109854026457.8,0.0,800478862996749.8,99571396357302.58,0.0,368545196518773.5,0.0,0.0,0.9980516650660103,O3_dominant,0.0
61.0,1916965342259880.0,0.0,815349980175449.9,102683070656031.05,0.0,372100644258014.0,0.0,0.0,0.9979717308670543,O3_dominant,0.0
62.0,1918835604592776.0,0.0,936144667808814.5,107756472790739.33,0.0,380334301807305.3,0.0,0.0,0.9978258978207563,O3_dominant,0.0
63.0,1919350047630354.0,0.0,883204939769904.6,104851974710100.81,0.0,375422679669769.2,0.0,0.0,0.9979071191546488,O3_dominant,0.0
64.0,1919860771517258.8,0.0,927936847162287.0,112316431318678.86,0.0,376886372446157.5,0.0,0.0,0.9976913161289447,O3_dominant,0.0
65.0,1918807560452679.8,0.0,991842297889148.0,111498237484011.88,0.0,379650385992374.8,0.0,0.0,0.9977225975467231,O3_dominant,0.0
66.0,1917549310663399.2,0.0,919881293013890.4,110342674402964.58,0.0,387575545749586.7,0.0,0.0,0.997800580433043,O3_dominant,0.0
67.0,1917515668358181.0,0.0,949683994933105.1,117023166977335.92,0.0,381785582990208.2,0.0,0.0,0.9976710752014494,O3_dominant,0.0
68.0,1914287554992973.5,0.0,983748931567442.8,120673730664513.77,0.0,388729722453921.9,0.0,0.0,0.9976183171234796,O3_dominant,0.0
69.0,1906391171991116.2,0.0,940217613673987.5,116792485810713.95,0.0,387409496129893.4,0.0,0.0,0.997681869695014,O3_dominant,0.0
70.0,1900263671610499.0,0.0,899845480208217.9,116591245414616.98,0.0,395977595482159.25,0.0,0.0,0.9976843013620096,O3_dominant,0.0
71.0,1899549172116553.2,0.0,968067175622606.0,120977237907418.78,0.0,383459730953533.56,0.0,0.0,0.9974660818505068,O3_dominant,0.0
72.0,1892391320090471.2,0.0,918253508002650.1,120591510216910.7,0.0,385981661622912.56,0.0,0.0,0.9975308663171585,O3_dominant,0.0
73.0,1885138567558520.5,0.0,978260926984688.1,122879608170263.4,0.0,382295696009676.2,0.0,0.0,0.9974811675689653,O3_dominant,0.0
74.0,1878850151291309.2,0.0,987448101966813.2,128295272864661.89,0.0,378670608522404.56,0.0,0.0,0.9972489375552096,O3_dominant,0.0
75.0,1870449849387982.5,0.0,994467329047906.0,125613890964189.48,0.0,381160925169873.8,0.0,0.0,0.9973654948720103,O3_dominant,0.0
76.0,1864256713438254.5,0.0,1070448297222280.9,132131345474768.34,0.0,391829200737938.5,0.0,0.0,0.9971159588368005,O3_dominant,0.0
77.0,1854892295441777.5,0.0,965235217550637.0,125258433857260.69,0.0,383570260952173.25,0.0,0.0,0.9973542912081614,O3_dominant,0.0
78.0,1843425229577419.0,0.0,1023359397344718.5,128963804674085.78,0.0,386956216828342.1,0.0,0.0,0.9972439430627698,O3_dominant,0.0
79.0,1832903499987325.5,0.0,1017931613554408.5,133444389991700.03,0.0,379201431695405.0,0.0,0.0,0.9971421699189043,O3_dominant,0.0
80.0,1826882659639899.8,0.0,993505886986568.5,129013131995033.5,0.0,384124612004942.1,0.0,0.0,0.997133785324506,O3_dominant,0.0
81.0,1821530984094223.5,0.0,1054823371707526.5,130744674124100.33,0.0,375653969168172.94,0.0,0.0,0.9969610140208187,O3_dominant,0.0
82.0,1813565548207489.5,0.0,1164601188277723.5,139901205056232.23,0.0,381185331481155.0,0.0,0.0,0.9967460124638448,O3_dominant,0.0
83.0,1800260495732632.5,0.0,1094847007314981.6,136993094070516.98,0.0,396464047347146.06,0.0,0.0,0.996870135390188,O3_dominant,0.0
