time_min,NO3- (uM),NO2- (uM),O3 (nM),H2O2 (uM),OH (pM),HO2 (pM),O2- (pM),ONOOH (pM),ONOO- (pM),O2NOOH (pM),O2NOO- (pM),O3- (pM),HO3 (pM),O (pM)
0.0000,1.000000e-24,9.997489e-25,1.000000e-21,9.999776e-25,1.000000e-18,6.270012e-21,9.937300e-19,2.847472e-19,7.152528e-19,7.358756e-20,9.264124e-19,1.000000e-18,1.000000e-18,1.000000e-18
0.0333,3.156466e-03,1.504383e-05,1.400577e-01,5.622779e-04,3.112670e+00,3.035398e-02,4.756964e+00,1.933211e+00,4.801682e+00,8.869336e-01,1.104092e+01,6.540477e-03,2.760401e-04,1.075159e-06
0.0667,1.276140e-02,3.459855e-05,2.855203e-01,2.200035e-03,3.696330e+00,4.119658e-02,6.246405e+00,4.245278e+00,1.020176e+01,2.234201e+00,2.690861e+01,8.316680e-03,7.118050e-04,1.015168e-06
0.1000,2.931672e-02,5.524143e-05,4.303134e-01,4.995093e-03,4.132036e+00,5.223132e-02,7.503501e+00,6.574976e+00,1.497018e+01,3.877609e+00,4.424834e+01,8.795037e-03,1.294045e-03,9.282476e-07
0.1333,5.308340e-02,7.814157e-05,5.584946e-01,8.990276e-03,4.440962e+00,6.423531e-02,8.585654e+00,9.147352e+00,1.937737e+01,6.090246e+00,6.465980e+01,8.545717e-03,1.906844e-03,8.456599e-07
0.1667,8.362247e-02,1.041918e-04,6.712256e-01,1.406728e-02,4.649379e+00,7.767738e-02,9.531157e+00,1.204545e+01,2.342470e+01,9.084197e+00,8.853960e+01,8.125144e-03,2.526457e-03,7.751436e-07
0.2000,1.205107e-01,1.339348e-04,7.732854e-01,2.012193e-02,4.786289e+00,9.289168e-02,1.036912e+01,1.528886e+01,2.704832e+01,1.308254e+01,1.159998e+02,7.692637e-03,3.147735e-03,7.163330e-07
0.2333,1.633401e-01,1.676774e-04,8.675329e-01,2.706199e-02,4.873694e+00,1.101297e-01,1.112286e+01,1.886285e+01,3.019390e+01,1.831710e+01,1.469497e+02,7.287624e-03,3.767112e-03,6.668111e-07
0.2667,2.117192e-01,2.055723e-04,9.555243e-01,3.480495e-02,4.926855e+00,1.295849e-01,1.181073e+01,2.273517e+01,3.284131e+01,2.502586e+01,1.811804e+02,6.917747e-03,4.381679e-03,6.243800e-07
0.3000,2.652712e-01,2.476728e-04,1.038066e+00,4.327599e-02,4.956224e+00,1.514112e-01,1.244723e+01,2.686451e+01,3.500205e+01,3.344753e+01,2.184131e+02,6.581776e-03,4.988891e-03,5.873923e-07
0.3333,3.236358e-01,2.939702e-04,1.115556e+00,5.240673e-02,4.969000e+00,1.757376e-01,1.304391e+01,3.120545e+01,3.670908e+01,4.381583e+01,2.583295e+02,6.276260e-03,5.586614e-03,5.546525e-07
0.3667,3.864684e-01,3.444185e-04,1.188168e+00,6.213397e-02,4.970180e+00,2.026767e-01,1.361001e+01,3.571188e+01,3.800733e+01,5.635362e+01,3.005914e+02,5.997437e-03,6.172970e-03,5.252966e-07
0.4000,4.534403e-01,3.989499e-04,1.255963e+00,7.239890e-02,4.963254e+00,2.323303e-01,1.415293e+01,4.033929e+01,3.894653e+01,7.126813e+01,3.448544e+02,5.741833e-03,6.746271e-03,4.986911e-07
0.4333,5.242388e-01,4.574858e-04,1.318964e+00,8.314653e-02,4.950592e+00,2.647918e-01,1.467848e+01,4.504649e+01,3.957650e+01,8.874696e+01,3.907779e+02,5.506382e-03,7.304974e-03,4.743624e-07
0.4667,5.982808e-01,5.238403e-04,1.437875e+00,9.442533e-02,4.698118e+00,2.856772e-01,1.446474e+01,5.081956e+01,4.078176e+01,1.099363e+02,4.421568e+02,5.254134e-03,7.777946e-03,4.559543e-07
0.5000,6.749922e-01,5.993763e-04,1.594722e+00,1.063073e-01,4.451126e+00,3.040390e-01,1.412052e+01,5.752450e+01,4.234229e+01,1.356333e+02,5.003660e+02,5.046335e-03,8.247920e-03,4.419752e-07
0.5333,7.541097e-01,6.839192e-04,1.773247e+00,1.187609e-01,4.218488e+00,3.213528e-01,1.374514e+01,6.452515e+01,4.374175e+01,1.654635e+02,5.621720e+02,4.853981e-03,8.687052e-03,4.307073e-07
0.5667,8.353844e-01,7.772094e-04,1.971983e+00,1.317568e-01,3.998369e+00,3.376293e-01,1.335131e+01,7.163112e+01,4.489372e+01,1.991598e+02,6.255840e+02,4.672211e-03,9.092409e-03,4.216258e-07
0.6000,9.185365e-01,8.787549e-04,2.188001e+00,1.452468e-01,3.789279e+00,3.528357e-01,1.294678e+01,7.870507e+01,4.577118e+01,2.364393e+02,6.891426e+02,4.490586e-03,9.443602e-03,4.143170e-07
0.6333,1.003293e+00,9.879260e-04,2.426358e+00,1.591996e-01,3.591609e+00,3.668911e-01,1.253547e+01,8.563581e+01,4.637231e+01,2.769451e+02,7.516178e+02,4.323085e-03,9.770835e-03,4.087619e-07
0.6667,1.089332e+00,1.103998e-03,2.688644e+00,1.736100e-01,3.405269e+00,3.797309e-01,1.212141e+01,9.233494e+01,4.671359e+01,3.202496e+02,8.120181e+02,4.168395e-03,1.007042e-02,4.048283e-07
0.7000,1.176493e+00,1.226173e-03,2.975892e+00,1.884638e-01,3.229373e+00,3.913480e-01,1.170758e+01,9.871098e+01,4.680254e+01,3.658772e+02,8.694394e+02,4.020717e-03,1.034049e-02,4.023896e-07
0.7333,1.264916e+00,1.353477e-03,3.289343e+00,2.037436e-01,3.063362e+00,4.018497e-01,1.129690e+01,1.046747e+02,4.663771e+01,4.134125e+02,9.231645e+02,3.875278e-03,1.058062e-02,4.013546e-07
0.7667,1.354606e+00,1.484871e-03,3.629137e+00,2.194277e-01,2.907396e+00,4.113653e-01,1.089333e+01,1.101495e+02,4.622909e+01,4.624117e+02,9.726617e+02,3.732328e-03,1.078911e-02,4.016156e-07
0.8000,1.445329e+00,1.619395e-03,3.994316e+00,2.354893e-01,2.761567e+00,4.199767e-01,1.050039e+01,1.150761e+02,4.560005e+01,5.123176e+02,1.017465e+03,3.593334e-03,1.096394e-02,4.030440e-07
0.8333,1.536776e+00,1.756179e-03,4.383439e+00,2.518979e-01,2.625580e+00,4.277246e-01,1.012011e+01,1.194092e+02,4.477738e+01,5.624938e+02,1.057155e+03,3.458842e-03,1.110322e-02,4.055141e-07
0.8667,1.628956e+00,1.894348e-03,4.795797e+00,2.686218e-01,2.498543e+00,4.346909e-01,9.753003e+00,1.231124e+02,4.377836e+01,6.123789e+02,1.091385e+03,3.325469e-03,1.120858e-02,4.089415e-07
0.9000,1.721900e+00,2.032956e-03,5.230520e+00,2.856306e-01,2.380263e+00,4.409920e-01,9.400086e+00,1.261666e+02,4.262316e+01,6.615217e+02,1.120070e+03,3.194669e-03,1.128271e-02,4.132548e-07
0.9333,1.815519e+00,2.171183e-03,5.686108e+00,3.028958e-01,2.270337e+00,4.467158e-01,9.062211e+00,1.285796e+02,4.134042e+01,7.094605e+02,1.143223e+03,3.066616e-03,1.132828e-02,4.183707e-07
0.9667,1.909752e+00,2.308268e-03,6.161129e+00,3.203925e-01,2.168462e+00,4.519561e-01,8.739981e+00,1.303719e+02,3.995749e+01,7.558140e+02,1.160992e+03,2.942671e-03,1.134906e-02,4.242156e-07
1.0000,2.004506e+00,2.443556e-03,6.653739e+00,3.380988e-01,2.074203e+00,4.567962e-01,8.433770e+00,1.315817e+02,3.850301e+01,8.002469e+02,1.173609e+03,2.823095e-03,1.134858e-02,4.307100e-07
1.0333,2.099751e+00,2.576454e-03,7.161914e+00,3.559960e-01,1.987144e+00,4.613297e-01,8.143771e+00,1.322559e+02,3.700235e+01,8.425341e+02,1.181413e+03,2.708348e-03,1.133049e-02,4.377752e-07
1.0667,2.195347e+00,2.706466e-03,7.683416e+00,3.740692e-01,1.906960e+00,4.656332e-01,7.870195e+00,1.324552e+02,3.548221e+01,8.824992e+02,1.184830e+03,2.599539e-03,1.129869e-02,4.453292e-07
1.1000,2.291370e+00,2.833178e-03,8.215466e+00,3.923049e-01,1.833031e+00,4.698096e-01,7.612867e+00,1.322398e+02,3.396162e+01,9.200976e+02,1.184296e+03,2.495054e-03,1.125572e-02,4.532804e-07
1.1333,2.387849e+00,2.956207e-03,8.754825e+00,4.106895e-01,1.765012e+00,4.739576e-01,7.371706e+00,1.316713e+02,3.245785e+01,9.554069e+02,1.180367e+03,2.395731e-03,1.120351e-02,4.615325e-07
1.1667,2.484706e+00,3.075359e-03,9.298197e+00,4.292105e-01,1.702462e+00,4.781557e-01,7.146600e+00,1.308165e+02,3.098793e+01,9.884911e+02,1.173553e+03,2.301326e-03,1.114433e-02,4.699877e-07
1.2000,2.582013e+00,3.190494e-03,9.842653e+00,4.478566e-01,1.644919e+00,4.824892e-01,6.937110e+00,1.297321e+02,2.956231e+01,1.019522e+03,1.164361e+03,2.211533e-03,1.107997e-02,4.785616e-07
1.2333,2.679744e+00,3.301571e-03,1.038595e+01,4.666189e-01,1.592023e+00,4.870247e-01,6.742814e+00,1.284742e+02,2.819071e+01,1.048678e+03,1.153274e+03,2.126668e-03,1.101308e-02,4.871864e-07
