Index,Time,Initial_pH,Final_pH,NO_nM,NO2_nM,NO2-_uM,NO3-_uM,H+_uM,OH-_nM,OH_pM,ONOO-_nM,HONO_uM,HONO2_uM,O3_gas,NO2_gas,N2O4_gas,HONO_gas,HONO2_gas,H2O2_gas,N2O4_source,plasma_on
30,30.0,6.5,5.220891890858263,1.805775545089686e-08,31.559170058580303,0.24722990628555852,5.449773916471088,6.0132340658907255,1.6629986277727307,2.763378733942538e-06,1.8246533602390878e-05,0.0037342995048393183,1e-14,1.0486446603211988e+16,689371445597066.0,130320228004.20631,3978232.6758057075,784625803421860.5,2097289320642.3977,equilibrium,False
31,31.0,6.5,5.217786165543924,1.752833932517655e-08,31.56018996965466,0.24292763546137225,5.497232058598152,6.056390010583255,1.6511486186622732,2.4443362779598584e-06,1.6405294808442815e-05,0.0036956496363015016,1e-14,1.0606975429035808e+16,683834837366813.8,128235329941.46167,3914587.8393443483,793503126453824.8,2121395085807.1616,equilibrium,False
32,32.0,6.5,5.217951442475824,1.832035526768163e-08,31.522055929985495,0.23517994863431738,5.502675503310946,6.0540856038815045,1.651777106292359,3.0146003534304463e-06,2.007278335485872e-05,0.003575142032498727,1e-14,1.0730905612438548e+16,666255346601993.5,121726928686.67636,3715908.5173728885,798672782513245.1,2146181122487.7097,equilibrium,False
33,33.0,6.5,5.215721917892547,1.7653143316014938e-08,31.512838435970586,0.2302248035953297,5.538790136839251,6.085245195044035,1.6433191563408827,2.617816016662265e-06,1.7746137434089092e-05,0.0035190888178700556,1e-14,1.0858252561556344e+16,657755695705708.1,118640914305.59503,3621703.009626019,806624943543435.4,2171650512311.2688,equilibrium,True
34,34.0,6.5,5.213474519671708,1.7711994011027424e-08,31.5114841650158,0.22629323111932917,5.5742934369065535,6.116816896483804,1.634837231404142,1e-08,1.818008420780359e-05,0.003476939061431381,1e-14,1.0987041662257174e+16,652863490833147.8,116882640900.17508,3568028.911432943,813377357363559.8,2197408332451.4348,equilibrium,True
35,35.0,6.5,5.206542170461516,1.768531447370892e-08,31.546841381618176,0.23428091689004413,5.664727771893606,6.2152389418345555,1.6089486009556748,2.5147947852073576e-06,1.7093532307177134e-05,0.0036548848700304784,1e-14,1.1114532478134872e+16,683518472526101.5,128116705492.42126,3910966.638963186,821168618324802.5,2222906495626.9746,equilibrium,True
36,36.0,6.5,5.198378100324972,1.8342970937220335e-08,31.606607961305386,0.2424420380902162,5.774508861147757,6.333180992601607,1.5789853490267423,2.781869405098256e-06,1.851319537504242e-05,0.0038568243652764827,1e-14,1.123197393320608e+16,716614176587984.5,140823794071.98914,4298870.771543147,831062443002705.4,2246394786641.216,equilibrium,True
37,37.0,6.5,5.193865960612166,1.8542724915654677e-08,31.62443266495584,0.24595117848630818,5.837139275376519,6.399323118573732,1.5626652717421572,2.7544630029414266e-06,1.941375010986602e-05,0.003953511294177438,1e-14,1.1337386517517452e+16,733091497859671.5,147374252554.84457,4498833.957436001,837568053440945.1,2267477303503.49,equilibrium,True
38,38.0,6.5,5.192509166147302,1.839445433224813e-08,31.6290370630533,0.24394566621839772,5.8591709990470004,6.419346727983265,1.5577909129693865,1e-08,1.823182673979279e-05,0.003933543686429996,1e-14,1.1433513775721864e+16,732490004285096.0,147132513835.3594,4491454.497719032,841107693228946.4,2286702755144.3726,equilibrium,True
39,39.0,6.5,5.191518799296562,1.8106645163098716e-08,31.641300196614065,0.24631002678451272,5.871462007175568,6.434002135373078,1.5542425677905518,2.489083430934883e-06,1.6811384193828842e-05,0.003980735569126081,1e-14,1.1527987281848694e+16,744146715347695.5,151852654546.6636,4635544.316311929,840430411810756.5,2305597456369.739,equilibrium,True
