time,pH,H+,NO2-,NO3-,H2O2,HONO_total,HONO2_total,H2O2_total,ONOOH_total,O3,NO,NO2_aq,N2O4,N2O5
10.0,6.385468579279991,4.1165312886886276e-07,1.8244804232117593e-07,5.117662628615598e-07,3.351783807376526e-07,1.8263669832396306e-07,5.117662724910451e-07,3.3518020356098014e-07,1.7357429959102839e-15,8.792804685504181e-09,1e-30,2.352771642798755e-10,3.153210833349653e-15,1e-30
11.0,6.334233504763302,4.631978077148924e-07,1.9825966747215068e-07,5.822514319585276e-07,3.656493017312403e-07,1.984903426524136e-07,5.822514442860858e-07,3.6565106898230983e-07,1.5551617954919572e-15,9.799243146659328e-09,1e-30,2.1930049487766194e-10,2.739505102645011e-15,1e-30
12.0,6.286818145951587,5.166326558616004e-07,2.138737417765502e-07,6.548192391075281e-07,3.9612021276473613e-07,2.1415129055588884e-07,6.548192545708673e-07,3.9612192927003965e-07,1.3748648030545072e-15,1.0736692265325199e-08,1e-30,2.0539046399021521e-10,2.4029954484567437e-15,1e-30
13.0,6.242287712578824,5.724166891950584e-07,2.292845367538639e-07,7.299340309765322e-07,4.265911139889052e-07,2.2961421254249587e-07,7.299340500748844e-07,4.265927823863549e-07,1.2183850962611253e-15,1.1589622258715987e-08,1e-30,1.9317723636828922e-10,2.125709230406068e-15,1e-30
14.0,6.199122471853173,6.322335351996055e-07,2.4448929646026397e-07,8.092809707161663e-07,4.570620118473612e-07,2.448775696280259e-07,8.092809941032924e-07,4.570636302910701e-07,1.0731576894536421e-15,1.234691794553615e-08,1e-30,1.8236944977116226e-10,1.894504983370334e-15,1e-30
15.0,6.157982906587137,6.950516736154273e-07,2.5949003296927294e-07,8.918268761832829e-07,4.875329046188959e-07,2.599430742482106e-07,8.918269045166149e-07,4.875344749341124e-07,9.42836005948264e-16,1.3003655865346581e-08,1e-30,1.7273691463613904e-10,1.6996580211910593e-15,1e-30
16.0,6.119665697626816,7.591617222438516e-07,2.742921651696857e-07,9.758578906540532e-07,5.180037836521987e-07,2.7481522058769967e-07,9.758579245166982e-07,5.180053112134367e-07,8.382856271044524e-16,1.3558951947151653e-08,1e-30,1.6410938106255046e-10,1.5341143748287722e-15,1e-30
17.0,6.082832836538929,8.263559594679202e-07,2.889014467133273e-07,1.0631590766814713e-06,5.484746639998917e-07,2.895011230061671e-07,1.0631591168388554e-06,5.484761498992916e-07,7.4310665733753525e-16,1.401317756674967e-08,1e-30,1.5632006090351027e-10,1.3919385985855236e-15,1e-30
18.0,6.047783670164358,8.958108738238246e-07,3.0332631478919566e-07,1.152898911825251e-06,5.789455408186996e-07,3.040088521339194e-07,1.152898959032377e-06,5.789469876616195e-07,6.581492587944321e-16,1.437603991201588e-08,1e-30,1.4925988950362464e-10,1.2690438442798186e-15,1e-30
19.0,6.014256960212118,9.677051220877893e-07,3.175759337286044e-07,1.2452465784190652e-06,6.094164161998664e-07,3.183478863093472e-07,1.2452466334996315e-06,6.094178260440244e-07,5.833950670533036e-16,1.4652822700964885e-08,1e-30,1.428289187168199e-10,1.1620437087067177e-15,1e-30
20.0,5.982301927363963,1.0415930481288745e-06,3.316601919014844e-07,1.339746709620445e-06,6.398872889718772e-07,3.3252793550365405e-07,1.3397467734057699e-06,6.398886642971087e-07,5.199292638545837e-16,1.485393178867427e-08,1e-30,1.3694829464084405e-10,1.0683245666824555e-15,1e-30
21.0,5.951187509786348,1.118954662382145e-06,3.455877400048748e-07,1.4378692388935463e-06,6.70358162421245e-07,3.465590789847855e-07,1.4378693124349447e-06,6.70359503623922e-07,4.640071127373022e-16,1.4987306721982497e-08,1e-30,1.3154881470510773e-10,9.857428738756788e-16,1e-30
22.0,5.921655170182356,1.1976911206203974e-06,3.5937117940444935e-07,1.5375043801389931e-06,7.008290346838158e-07,3.604523346872873e-07,1.5375044643097422e-06,7.00830344671631e-07,4.074144095943389e-16,1.5056351983319783e-08,1e-30,1.265719517934684e-10,9.125663685523156e-16,1e-30
23.0,5.893365693354572,1.2783044672721793e-06,3.7302083021322946e-07,1.6391431426066394e-06,7.312998924403034e-07,3.742185835543316e-07,1.6391432383814247e-06,7.313011731809796e-07,3.8966706765232935e-16,1.5068867306525376e-08,1e-30,1.2199739713501382e-10,8.477944266617249e-16,1e-30
24.0,5.865973861182496,1.3615266260008615e-06,3.865458489133298e-07,1.7435075544831033e-06,7.617707613137163e-07,3.8786783581633856e-07,1.7435076629881586e-06,7.617720138726259e-07,3.4463432875611116e-16,1.5035670911801726e-08,1e-30,1.177366189122527e-10,7.896095672073625e-16,1e-30
25.0,5.8395247943870086,1.4470222385210238e-06,3.999564562460391e-07,1.8502520825157922e-06,7.922416304740821e-07,4.014102001859522e-07,1.8502522048945688e-06,7.922428561691942e-07,3.1436310217566983e-16,1.4960569724394712e-08,1e-30,1.1377337326706736e-10,7.373444592359983e-16,1e-30
26.0,5.813943265378574,1.5348174725692828e-06,4.13262657044988e-07,1.959392728623075e-06,8.227125005322747e-07,4.148559032703981e-07,1.9593928660836724e-06,8.227137005602251e-07,2.8618038677074235e-16,1.4846446670750163e-08,1e-30,1.1007884145514567e-10,6.90234569498802e-16,1e-30
27.0,5.789554706020689,1.6234738362854196e-06,4.2647596339409564e-07,2.069480796626258e-06,8.531833756719789e-07,4.2821512465414613e-07,2.069480950196368e-06,8.53184552185955e-07,2.5002718113227484e-16,1.4699510098180764e-08,1e-30,1.0661853594799157e-10,6.475216985685232e-16,1e-30
28.0,5.76612053770048,1.713481667560012e-06,4.3960506805241806e-07,2.1809973356401038e-06,8.836542527618446e-07,4.414971596317459e-07,2.1809975064584833e-06,8.836554072856964e-07,2.2318631176155905e-16,1.452409177076856e-08,1e-30,1.033742005251586e-10,6.08713751837544e-16,1e-30
29.0,5.743367162294821,1.8056469461227518e-06,4.5265690256353744e-07,2.2947403609289327e-06,9.141251308024855e-07,4.547099641866649e-07,2.294740550323009e-06,9.141262641753511e-07,2.0549009387627395e-16,1.4328527358745727e-08,1e-30,1.0032772478691387e-10,5.73364244627921e-16,1e-30
30.0,5.721228998961041,1.9000761253649655e-06,4.6563581367861345e-07,2.410811703853788e-06,9.44596011698874e-07,4.6785818885325684e-07,2.4108119132333523e-06,9.445971246474714e-07,1.8449730764383193e-16,1.4127182129016758e-08,1e-30,9.74611249018779e-11,5.410674675573259e-16,1e-30
31.0,5.699708509145928,1.9966019496276542e-06,4.78544358558573e-07,2.5290415515957533e-06,9.75066879696298e-07,4.809443720975228e-07,2.529041782401945e-06,9.75067973005275e-07,1.7115403091937269e-16,1.3927982983365635e-08,1e-30,9.478405672907754e-11,5.117504945320707e-16,1e-30
