Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight,Saturated_Excluded
39.0,4.534251449865119e+16,0.0,0.0,0.0,0.0,7972830879149764.0,0.0,0.0,0.9975142618083971,O3_dominant,0.0,0
40.0,4.584323498360161e+16,0.0,0.0,0.0,0.0,8173337293813086.0,0.0,0.0,0.9974571865837536,O3_dominant,0.0,0
41.0,4.633614655315685e+16,0.0,0.0,0.0,0.0,8302345070567510.0,0.0,0.0,0.997406120972156,O3_dominant,0.0,0
42.0,4.684647202170217e+16,0.0,0.0,0.0,0.0,8356282881437021.0,0.0,0.0,0.9973627073387162,O3_dominant,0.0,0
43.0,4.731411542115843e+16,0.0,0.0,0.0,0.0,8570072973105470.0,0.0,0.0,0.9973158643917195,O3_dominant,0.0,0
44.0,4.782352650465602e+16,0.0,0.0,0.0,0.0,8715455612210911.0,0.0,0.0,0.9972239541288106,O3_dominant,0.0,0
45.0,4.830952716812395e+16,0.0,0.0,0.0,0.0,8865703248871547.0,0.0,0.0,0.997161457125468,O3_dominant,0.0,0
46.0,4.879456707441391e+16,0.0,0.0,0.0,0.0,9016478028337646.0,0.0,0.0,0.9970864779248353,O3_dominant,0.0,0
47.0,4.945178195959554e+16,0.0,0.0,0.0,0.0,9033060867446820.0,0.0,0.0,0.9969287946361344,O3_dominant,0.0,7
48.0,4.994159782847278e+16,0.0,0.0,0.0,0.0,9058249283057290.0,0.0,0.0,0.9968388741413968,O3_dominant,0.0,9
49.0,5.053879799132047e+16,0.0,276191862672594.53,0.0,0.0,9022190466680380.0,0.0,0.0,0.9967386408652301,O3_dominant,0.0,14
50.0,5.132830368955501e+16,0.0,0.0,0.0,0.0,8890084283624743.0,0.0,0.0,0.9967014678720942,O3_dominant,0.0,20
51.0,5.193827694900835e+16,0.0,0.0,0.0,0.0,8900836738920934.0,0.0,0.0,0.9966371185412257,O3_dominant,0.0,22
52.0,5.257505443685766e+16,0.0,0.0,0.0,0.0,8958284297016073.0,0.0,0.0,0.9965880348990476,O3_dominant,0.0,25
53.0,5.313897371420538e+16,0.0,283979735616217.1,0.0,0.0,8883725243863064.0,0.0,0.0,0.9964653282866968,mixed,0.0,28
54.0,5.373570569936499e+16,0.0,287595299778799.56,0.0,0.0,8934080821425773.0,0.0,0.0,0.9963612758464726,mixed,0.0,30
55.0,5.436743727650276e+16,0.0,0.0,555563008291.7449,0.0,8983762699223120.0,0.0,0.0,0.9962666041428274,mixed,0.0,33
56.0,5.488915124222188e+16,0.0,303384557267760.0,548002994544.96594,0.0,8899480452059689.0,0.0,0.0,0.9962030223144622,mixed,0.0,35
57.0,5.52986936949302e+16,0.0,0.0,0.0,0.0,9023482677230756.0,0.0,0.0,0.9960668818708226,mixed,0.0,36
58.0,5.575751135971153e+16,0.0,287366892740835.06,526530822219.27686,0.0,9083822353270886.0,0.0,0.0,0.9960369185903433,mixed,0.0,37
59.0,5.6182556636410456e+16,0.0,355863247816109.2,622653048574.9807,0.0,9095813060565836.0,0.0,0.0,0.9959444508229022,mixed,0.0,38
60.0,5.667148977129629e+16,0.0,359583151119275.94,615243489353.2045,0.0,9132808852244050.0,0.0,0.0,0.9959382055667075,mixed,0.0,39
61.0,5.705653541066853e+16,0.0,266127990078093.7,594794155046.9506,0.0,9174589851216648.0,0.0,0.0,0.9957857601344602,mixed,0.0,40
