Index,Time,Initial_pH,Final_pH,NO_nM,NO2_nM,NO2-_uM,NO3-_uM,H+_uM,OH-_nM,OH_pM,ONOO-_nM,HONO_uM,HONO2_uM,O3_gas,NO2_gas,N2O4_gas,HONO_gas,HONO2_gas,H2O2_gas,N2O4_source,plasma_on,Aq_H_M,Aq_H2_M,Aq_O_M,Aq_O2_M,Aq_O3_M,Aq_N2_M,Aq_NO_M,Aq_NO2_M,Aq_NO3_M,Aq_N2O_M,Aq_N2O3_M,Aq_N2O4_M,Aq_N2O5_M,Aq_OH_M,Aq_HO2_M,Aq_HO3_M,Aq_H2O2_M,Aq_HONO_M,Aq_HONO2_M,Aq_ONOOH_M,Aq_O2NOOH_M,Aq_H+_M,Aq_OH-_M,Aq_O-_M,Aq_O2-_M,Aq_O3-_M,Aq_HO2-_M,Aq_NO2-_M,Aq_NO3-_M,Aq_ONOO-_M,Aq_O2NOO-_M
10,10.0,6.5,5.397644549213407,1.933179431442617e-08,29.928479026682634,0.11856759723208847,3.5679233351821558,4.002722208062148,2.498299777068425,4.599262329976894e-06,2.9672617092508352e-05,0.0011921241551667734,1e-14,6623135788139646.0,245860679747495.78,16576139997.77249,506013.09395913593,569401804972795.6,1324627157627.9292,equilibrium,False,1e-20,1e-20,1e-20,0.00025006961548931236,1.0928691253156177e-05,0.0005,1.9331794314426168e-17,2.9928479026682635e-08,1e-20,1e-20,1e-20,5.114304131002493e-11,1e-20,4.599262329976894e-18,5.545383666158036e-14,4.1536151148662825e-12,2.1997544009394672e-09,1.1921241551667735e-09,1e-20,4.3460556375211826e-13,2.6348198017367483e-12,4.002722208062148e-06,2.498299777068425e-09,1.003549201945193e-14,4.367143751861462e-15,2.9041998625301493e-12,2.5480923256280937e-15,1.1856759723208847e-07,3.567923335182156e-06,2.967261709250835e-14,8.318672681480694e-13
11,11.0,6.5,5.360204476662253,1.780724234070855e-08,30.303943625338665,0.1371201927081103,3.9097522935819606,4.363103580858017,2.2919465043046703,3.7929050414436035e-06,2.42312632500435e-05,0.0015027853700758506,1e-14,7063642139091582.0,292057062110117.7,23390562956.377098,714034.2162043062,601657932996938.2,1412728427818.3164,equilibrium,False,1e-20,1e-20,1e-20,0.00025008888644036033,1.1640910431095306e-05,0.0005,1.780724234070855e-17,3.0303943625338666e-08,1e-20,1e-20,1e-20,5.243560404196019e-11,1e-20,3.792905041443603e-18,7.449194159688226e-14,4.690373465072777e-12,2.3460511062342536e-09,1.5027853700758506e-09,1e-20,3.816767564527355e-13,2.092748148632836e-12,4.363103580858018e-06,2.29194650430467e-09,1.03549021387512e-14,1e-20,3.0079910079194383e-12,2.420518104528217e-15,1.371201927081103e-07,3.909752293581961e-06,2.42312632500435e-14,6.090391178411932e-13
12,12.0,6.5,5.34837431531244,1.7585327079972533e-08,30.568970416115608,0.15342686087556073,4.013929971423201,4.483587861157298,2.2303566495705915,1e-08,2.3393023281011695e-05,0.0017279338242938605,1e-14,7441550546561140.0,335340095617359.3,30837290899.880123,941357.4559374579,626621536831198.6,1488310109312.228,equilibrium,False,1e-20,1e-20,1e-20,0.0002501077684020008,1.2249573106308046e-05,0.0005,1.7585327079972533e-17,3.056897041611561e-08,1e-20,1e-20,1e-20,5.335788160087688e-11,1e-20,1e-20,7.26680314107205e-14,4.757986142694107e-12,2.471563064940213e-09,1.7279338242938605e-09,1e-20,3.7862080054926617e-13,2.0545123413295567e-12,4.483587861157299e-06,2.2303566495705914e-09,1.0188640175377336e-14,1e-20,2.969298477806012e-12,2.4581075557617395e-15,1.5342686087556074e-07,4.013929971423201e-06,2.3393023281011695e-14,5.820546485623981e-13
13,13.0,6.5,5.331956448281328,1.756236924781712e-08,30.73869348886277,0.16530709104110028,4.174789809280502,4.6563278555371115,2.1476150971971575,3.531306618150903e-06,2.303982565073318e-05,0.0019334594072838807,1e-14,7768044002238158.0,370900709623815.25,37724246890.63471,1151592.764598608,645810862232847.1,1553608800447.6316,equilibrium,False,1e-20,1e-20,1e-20,0.00025012388285239686,1.277562748138776e-05,0.0005,1.7562369247817122e-17,3.073869348886277e-08,1e-20,1e-20,1e-20,5.395270754947133e-11,1e-20,3.531306618150903e-18,3.4291324372957277e-15,4.66942915880396e-12,2.5799971984294563e-09,1.9334594072838806e-09,1e-20,3.898988313752839e-13,2.258787392332607e-12,4.656327855537112e-06,2.1476150971971574e-09,9.607398125891716e-15,2.8934813139110024e-14,2.8077809645148384e-12,2.4393167957569745e-15,1.653070910411003e-07,4.174789809280502e-06,2.303982565073318e-14,6.164477422420719e-13
14,14.0,6.5,5.319412207040663,1.830537133402503e-08,30.83657959733601,0.1715836549561248,4.304992448794517,4.792783295943562,2.0864702997368085,3.962574202849847e-06,2.5588465970237486e-05,0.0020656832691252573,1e-14,8052916004845724.0,393338874931218.06,42426674535.65041,1295141.8636103878,662715472371071.4,1610583200969.1448,equilibrium,False,1e-20,1e-20,1e-20,0.0002501355136544142,1.3237064554345307e-05,0.0005,1.830537133402503e-17,3.083657959733601e-08,1e-20,1e-20,1e-20,5.4297300272749367e-11,1e-20,3.962574202849847e-18,3.0226824546011322e-15,4.403108600357367e-12,2.6746084005283778e-09,2.065683269125257e-09,1e-20,4.5330380835478866e-13,2.6443153585245385e-11,4.792783295943562e-06,2.0864702997368087e-09,8.780137993102377e-15,2.6528855378587273e-14,2.5722639114599767e-12,2.4331442076573067e-15,1.7158365495612478e-07,4.304992448794517e-06,2.5588465970237486e-14,1e-20
15,15.0,6.5,5.306044018291366,1.7266753179977414e-08,30.963100119294204,0.18308163442867445,4.443166898596955,4.942605882402424,2.0232242339498687,3.23538515605324e-06,2.1235686948738842e-05,0.0022730070771507485,1e-14,8304782474285801.0,426513210906637.6,49885028568.93258,1522820.0082647444,679183531577052.2,1660956494857.1602,equilibrium,False,1e-20,1e-20,1e-20,0.0002501516658214723,1.3639140761787722e-05,0.0005,1.7266753179977415e-17,3.0963100119294204e-08,1e-20,1e-20,1e-20,5.4744315406740656e-11,1e-20,3.23538515605324e-18,3.4570248036653127e-15,4.864596184007834e-12,2.6316884185826443e-09,2.2730070771507487e-09,1e-20,3.812520711813711e-13,2.1587074922762652e-12,4.942605882402424e-06,2.023224233949869e-09,9.386221566333039e-15,2.823744951807432e-14,2.7557089243370474e-12,1.2657116536166172e-10,1.8308163442867445e-07,4.443166898596955e-06,2.1235686948738843e-14,5.552963344240117e-13
16,16.0,6.5,5.295408906941916,1.7791506118170572e-08,31.063037045001188,0.19161599179630084,4.557285856598632,5.065135793615716,1.9742807315587707,3.4067472632540412e-06,2.3873829223238784e-05,0.0024379392016257335,1e-14,8527073656541411.0,454518751463038.75,56651166921.614624,1729367.1659538264,692018256450215.1,1705414731308.2822,equilibrium,False,1e-20,1e-20,1e-20,0.00025016532313792045,1.3994626106089582e-05,0.0005,1.779150611817057e-17,3.1063037045001186e-08,1e-20,1e-20,1e-20,5.509871181366031e-11,1e-20,3.4067472632540413e-18,1e-20,1.0495520093500882e-11,2.8320837388855583e-09,2.4379392016257334e-09,1e-20,4.119275376109797e-13,2.533805256207929e-12,5.065135793615716e-06,1.9742807315587707e-09,1.9726774457708547e-14,7.443808213481132e-14,5.802627841481773e-12,2.393241974415064e-15,1.9161599179630084e-07,4.557285856598632e-06,2.3873829223238784e-14,6.449509730930153e-13
17,17.0,6.5,5.283114564394014,1.7337959144842164e-08,31.177382563199345,0.2056997716000682,4.6886411416458715,5.210572410616043,1.9191749412571766,3.119634798071269e-06,2.0281877392895874e-05,0.002692274094072783,1e-14,8727092206624624.0,496798321371835.4,67680800929.84139,2066064.3240672187,704461337964383.5,1745418441324.9248,equilibrium,False,1e-20,1e-20,1e-20,0.0002501843854865142,1.4307698801896592e-05,0.0005,1.7337959144842163e-17,3.1177382563199345e-08,1e-20,1e-20,1e-20,5.5505602140284596e-11,1e-20,3.1196347980712687e-18,3.3815266367794976e-15,4.871865489245998e-12,2.896967859407561e-09,2.692274094072783e-09,1e-20,3.856058989998427e-13,2.265234990878801e-12,5.210572410616043e-06,1.9191749412571766e-09,8.885067849562283e-15,2.6704920669685707e-14,2.6178943006224416e-12,1.5469434438055405e-12,2.056997716000682e-07,4.6886411416458715e-06,2.0281877392895875e-14,5.522480514420394e-13
18,18.0,6.5,5.274550162501442,1.8327535366711474e-08,31.25263241387496,0.2138182407243517,4.784297532127377,5.314346134419303,1.881699036367399,3.713168664568561e-06,2.3445997931038613e-05,0.0028542671375416068,1e-14,8905269133501256.0,525115105522504.75,75616099750.97896,2308301.96856791,713638472197520.8,1781053826700.2512,equilibrium,False,1e-20,1e-20,1e-20,0.00025019775836182415,1.459019673355497e-05,0.0005,1.8327535366711474e-17,3.125263241387496e-08,1e-20,1e-20,1e-20,5.5774192833382976e-11,1e-20,3.713168664568561e-18,1.4959351319165968e-15,3.7711350767120656e-12,2.957687806691978e-09,2.854267137541607e-09,1e-20,4.681668290154873e-13,3.68176904863852e-12,5.3143461344193024e-06,1.8816990363673992e-09,6.733285673168782e-15,2.0516919071273886e-14,1.9868739789690354e-12,2.344436967981651e-15,2.138182407243517e-07,4.784297532127378e-06,2.3445997931038614e-14,8.753844048187605e-13
19,19.0,6.5,5.266763314011608,1.7621752682435547e-08,31.277261438111008,0.21738705601831151,4.876873508644933,5.410491087635135,1.8482610613731014,1e-08,2.037745761059679e-05,0.002943695866262428,1e-14,9065764552897276.0,541875861502486.9,80520202897.58812,2458007.533714193,724870783306442.6,1813152910579.455,equilibrium,False,1e-20,1e-20,1e-20,0.0002502064614481266,1.4848012588047081e-05,0.0005,1.7621752682435546e-17,3.127726143811101e-08,1e-20,1e-20,1e-20,5.5862196672244445e-11,1e-20,1e-20,3.1410617574518873e-15,4.594997344659827e-12,3.0109908107827745e-09,2.9436958662624283e-09,1e-20,4.065486892424575e-13,2.7091843944797105e-12,5.4104910876351355e-06,1.8482610613731014e-09,8.047458910776065e-15,2.4185164496338296e-14,2.377884361361535e-12,2.3306759850034215e-15,2.173870560183115e-07,4.876873508644933e-06,2.037745761059679e-14,6.345551201975084e-13
20,20.0,6.5,5.261988964607947,1.7406653161608818e-08,31.3082034066631,0.21853899390978287,4.935529136340002,5.470298627074761,1.828053764846101,2.977578735737202e-06,1.9355318238302664e-05,0.003002894011355004,1e-14,9215168685415390.0,550856197112739.4,83211189291.46591,2540154.182520913,732533800590773.6,1843033737083.078,equilibrium,False,1e-20,1e-20,1e-20,0.0002502124821035259,1.5090091057158104e-05,0.0005,1.7406653161608817e-17,3.13082034066631e-08,1e-20,1e-20,1e-20,5.597301996593984e-11,1e-20,2.977578735737202e-18,3.2803528471245405e-15,4.8484048668173846e-12,3.0606395270942345e-09,3.002894011355004e-09,1e-20,3.88026083318108e-13,2.4398186555446454e-12,5.470298627074761e-06,1.828053764846101e-09,8.38782566625887e-15,2.51945525350739e-14,2.4815886354684886e-12,1e-20,2.1853899390978287e-07,4.935529136340003e-06,1.9355318238302664e-14,5.659302245142811e-13
