2.800E+00	0.0000E+0
2.860E+00	5.9593E-23
3.059E+00	3.6702E-22
3.259E+00	9.6988E-22
3.458E+00	1.8270E-21
3.658E+00	2.8736E-21
4.057E+00	5.2911E-21
4.855E+00	1.0305E-20
5.653E+00	1.4607E-20
6.451E+00	1.7959E-20
7.448E+00	2.0985E-20
8.845E+00	2.3641E-20
1.084E+01	2.5481E-20
1.423E+01	2.6110E-20
4.017E+01	1.9234E-20
5.832E+01	1.5912E-20
8.087E+01	1.3206E-20
1.094E+02	1.0965E-20
1.457E+02	9.0990E-21
1.920E+02	7.5426E-21
2.507E+02	6.2510E-21
3.251E+02	5.1766E-21
4.192E+02	4.2845E-21
5.381E+02	3.5447E-21
6.880E+02	2.9316E-21
8.769E+02	2.4230E-21
1.000E+03	2.1831E-21
