Time,O3,NO2,NO3,N2O5,HONO
0,0,0,0,0,0
2,1.58534E+15,1.01093E+14,2.84238E+12,4.72066E+12,6.57101E+11
4,3.17068E+15,2.02185E+14,5.68476E+12,9.44132E+12,1.3142E+12
6,6.27789E+15,3.03278E+14,8.52714E+12,1.4162E+13,1.9713E+12
8,8.68042E+15,4.0437E+14,1.13695E+13,1.88826E+13,2.62841E+12
10,1.07E+16,3.26887E+14,1.42119E+13,2.36033E+13,2.12476E+12
12,1.23E+16,3.56408E+14,1.70543E+13,2.83239E+13,2.31665E+12
14,1.36E+16,3.63629E+14,1.98967E+13,3.30446E+13,2.36359E+12
16,1.49E+16,3.37712E+14,2.2739E+13,3.77653E+13,2.30062E+12
18,1.62E+16,3.44254E+14,2.55814E+13,4.24859E+13,2.23765E+12
20,1.76E+16,3.93341E+14,2.84238E+13,4.72066E+13,2.55672E+12
22,1.89E+16,2.92762E+14,3.12662E+13,5.19272E+13,1.90295E+12
24,2.02E+16,2.93652E+14,3.41085E+13,5.66479E+13,1.90874E+12
26,2.13E+16,3.7989E+14,3.69509E+13,6.13686E+13,2.33022E+12
28,2.23E+16,4.23341E+14,3.97933E+13,6.60892E+13,2.75171E+12
30,2.34E+16,3.05422E+14,4.26357E+13,7.08099E+13,1.98524E+12
32,2.43E+16,4.10752E+14,4.54781E+13,7.55305E+13,2.66989E+12
34,2.51E+16,4.21825E+14,4.83204E+13,8.02512E+13,2.74187E+12
36,2.58E+16,5.7737E+14,5.11628E+13,8.49718E+13,3.7529E+12
38,2.65E+16,5.76777E+14,5.40052E+13,8.96925E+13,3.74905E+12
40,2.71E+16,6.73855E+14,5.35738E+13,9.44132E+13,4.38005E+12
42,2.77E+16,6.61578E+14,4.91309E+13,9.91338E+13,4.30026E+12
44,2.83E+16,9.21743E+14,6.6758E+13,1.03854E+14,5.99133E+12
46,2.89E+16,8.15121E+14,6.65698E+13,1.08575E+14,5.29829E+12
48,2.94E+16,1.00839E+15,6.32852E+13,1.13296E+14,6.55451E+12
50,2.98E+16,1.14503E+15,8.44058E+13,1.18016E+14,7.44269E+12
52,3.03E+16,1.14421E+15,8.57604E+13,1.21086E+14,7.43734E+12
54,3.09E+16,1.21656E+15,6.95553E+13,1.17718E+14,7.90764E+12
56,3.14E+16,1.33545E+15,9.4519E+13,1.32441E+14,8.68042E+12
58,3.18E+16,1.30767E+15,7.81355E+13,1.42424E+14,8.49982E+12
60,3.23E+16,1.3633E+15,8.53864E+13,1.36515E+14,8.86147E+12
62,3.28E+16,1.58916E+15,7.8156E+13,1.38736E+14,1.03295E+13
64,3.33E+16,1.43213E+15,9.34416E+13,1.61746E+14,9.30885E+12
66,3.37E+16,1.50302E+15,9.22108E+13,1.655E+14,9.76965E+12
68,3.43E+16,1.54603E+15,7.90357E+13,1.60438E+14,1.00492E+13
70,3.48E+16,1.62493E+15,1.00181E+14,1.63478E+14,1.0562E+13
72,3.53E+16,1.67423E+15,9.52259E+13,1.70862E+14,1.08825E+13
74,3.58E+16,1.39799E+15,9.73898E+13,1.94963E+14,9.08692E+12
76,3.62E+16,1.80606E+15,9.77429E+13,1.87811E+14,1.17394E+13
78,3.67E+16,1.77364E+15,1.055E+14,1.83934E+14,1.15287E+13
80,3.71E+16,1.84668E+15,1.08535E+14,1.95668E+14,1.20034E+13
82,3.75E+16,1.92328E+15,1.14938E+14,2.00102E+14,1.25013E+13
84,3.79E+16,1.98953E+15,1.06376E+14,2.0947E+14,1.29319E+13
86,3.83E+16,1.69616E+15,1.02903E+14,2.23027E+14,1.10251E+13
88,3.87E+16,2.01893E+15,1.22562E+14,2.21117E+14,1.3123E+13
90,3.91E+16,2.01452E+15,1.31489E+14,2.23774E+14,1.30944E+13
92,3.95E+16,2.17388E+15,1.0679E+14,2.10417E+14,1.41302E+13
94,3.99E+16,2.18649E+15,1.29347E+14,2.39347E+14,1.42122E+13
96,4.03E+16,2.0558E+15,1.04815E+14,2.29736E+14,1.33627E+13
98,4.07E+16,2.08832E+15,1.19325E+14,2.40948E+14,1.35741E+13
100,4.11E+16,2.28783E+15,1.06138E+14,2.35008E+14,1.48709E+13
102,4.15E+16,2.35457E+15,1.12721E+14,2.38058E+14,1.53047E+13
104,4.19E+16,2.20993E+15,1.42737E+14,2.6319E+14,1.43646E+13
106,4.23E+16,2.43382E+15,1.37577E+14,2.62859E+14,1.58198E+13
108,4.26E+16,2.24282E+15,1.29041E+14,2.57061E+14,1.45783E+13
110,4.30E+16,2.45035E+15,1.40128E+14,2.82195E+14,1.59273E+13
112,4.33E+16,2.5413E+15,1.41172E+14,2.74232E+14,1.65185E+13
114,4.36E+16,2.48884E+15,1.19352E+14,2.78793E+14,1.61775E+13
116,4.40E+16,2.57163E+15,1.4588E+14,2.88315E+14,1.67156E+13
118,4.43E+16,2.60733E+15,1.28053E+14,2.74603E+14,1.69477E+13
120,4.47E+16,2.60151E+15,1.25373E+14,2.88751E+14,1.69098E+13
122,4.50E+16,2.93782E+15,1.58459E+14,2.92472E+14,1.68184E+13
124,4.53E+16,2.57339E+15,1.44124E+14,2.99795E+14,1.67271E+13
126,4.56E+16,2.72884E+15,1.33943E+14,2.93035E+14,1.77374E+13
128,4.58E+16,2.70038E+15,1.32449E+14,3.0823E+14,1.75525E+13
130,4.62E+16,2.81511E+15,1.31944E+14,3.11957E+14,1.82982E+13
132,4.64E+16,2.67688E+15,1.36695E+14,3.1217E+14,1.73997E+13
134,4.67E+16,2.89411E+15,1.45692E+14,3.08683E+14,1.88117E+13
136,4.70E+16,2.88082E+15,1.50016E+14,3.18983E+14,1.87253E+13
138,4.73E+16,3.00464E+15,1.60809E+14,3.25213E+14,1.95301E+13
140,4.75E+16,3.09907E+15,1.39707E+14,3.25916E+14,2.01439E+13
142,4.78E+16,3.0436E+15,1.51186E+14,3.45756E+14,1.97834E+13
144,4.80E+16,3.13694E+15,1.32698E+14,3.3842E+14,2.03901E+13
146,4.83E+16,3.02973E+15,1.56186E+14,3.51965E+14,1.96932E+13
148,4.86E+16,3.019E+15,1.5524E+14,3.44741E+14,1.96235E+13
150,4.88E+16,3.15386E+15,1.6137E+14,3.44842E+14,2.05001E+13
152,4.90E+16,3.38829E+15,1.55955E+14,3.53105E+14,2.20239E+13
154,4.92E+16,3.20381E+15,1.58943E+14,3.7236E+14,2.08247E+13
156,4.94E+16,3.30329E+15,1.7017E+14,3.81361E+14,2.14714E+13
158,4.97E+16,3.25228E+15,1.74019E+14,3.90344E+14,2.11398E+13
160,4.99E+16,3.26547E+15,1.74502E+14,3.97522E+14,2.12255E+13
162,5.02E+16,3.3419E+15,1.53605E+14,3.79345E+14,2.17224E+13
164,5.04E+16,3.37043E+15,1.81413E+14,3.96435E+14,2.19078E+13
166,5.07E+16,3.5365E+15,1.71525E+14,3.88435E+14,2.29873E+13
168,5.10E+16,3.38379E+15,1.58838E+14,4.05244E+14,2.19946E+13
170,5.12E+16,3.38481E+15,1.72898E+14,4.05186E+14,2.20013E+13
172,5.15E+16,3.34931E+15,1.70646E+14,4.08392E+14,2.27508E+13
174,5.18E+16,3.61543E+15,1.69734E+14,3.97988E+14,2.35003E+13
176,5.20E+16,3.35326E+15,1.68788E+14,4.11715E+14,2.17962E+13
178,5.23E+16,3.65298E+15,1.77203E+14,4.31344E+14,2.37444E+13
180,5.25E+16,3.7131E+15,1.84948E+14,4.20116E+14,2.41351E+13
182,5.28E+16,3.67018E+15,1.76412E+14,4.27958E+14,2.38562E+13
184,5.31E+16,3.72385E+15,1.9312E+14,4.41148E+14,2.4205E+13
186,5.34E+16,3.71479E+15,1.76162E+14,4.27209E+14,2.41461E+13
188,5.36E+16,3.78745E+15,1.96544E+14,4.35653E+14,2.46184E+13
