time_min,NO3- (uM),NO2- (uM),O3 (nM),H2O2 (uM),OH (pM),HO2 (pM),O2- (pM),ONOOH (pM),ONOO- (pM),O2NOOH (pM),O2NOO- (pM),O3- (pM),HO3 (pM),O (pM)
0.0000,1.000000e-24,9.997489e-25,1.000000e-21,9.999776e-25,1.000000e-18,6.270012e-21,9.937300e-19,2.847472e-19,7.152528e-19,7.358756e-20,9.264124e-19,1.000000e-18,1.000000e-18,1.000000e-18
0.0333,4.016503e-03,1.960477e-04,6.994911e-01,1.028576e-03,1.265619e-01,1.478437e-03,2.307344e-01,7.648206e-01,1.891774e+00,1.705242e-01,2.113955e+00,1.200397e-03,6.116752e-05,6.725915e-06
0.0667,1.619577e-02,7.302358e-04,2.574595e+00,4.114331e-03,5.418760e-02,6.840515e-04,1.019096e-01,8.999776e-01,2.124995e+00,1.811291e-01,2.143455e+00,7.045223e-04,7.914503e-05,1.420958e-05
0.1000,3.740856e-02,1.396875e-03,5.763084e+00,9.951482e-03,3.698311e-02,5.219931e-04,7.208115e-02,7.642322e-01,1.672562e+00,2.191182e-01,2.403452e+00,5.883801e-04,1.191289e-04,2.037209e-05
0.1333,6.825117e-02,1.911105e-03,1.013138e+01,1.912438e-02,3.457975e-02,5.572220e-04,6.964013e-02,7.751672e-01,1.535418e+00,3.246361e-01,3.222761e+00,6.010120e-04,1.888242e-04,2.499491e-05
0.1667,1.081869e-01,2.158137e-03,1.523558e+01,3.141824e-02,3.940284e-02,7.311730e-04,8.148570e-02,9.558189e-01,1.688250e+00,5.298495e-01,4.690442e+00,6.837136e-04,3.005982e-04,2.828122e-05
0.2000,1.565437e-01,2.192484e-03,2.087060e+01,4.662645e-02,4.890898e-02,1.047499e-03,1.033206e-01,1.274112e+00,1.991778e+00,8.782470e-01,6.880976e+00,8.102580e-04,4.651144e-04,3.072697e-05
0.2333,2.126365e-01,2.115243e-03,2.690032e+01,6.455095e-02,6.228882e-02,1.537457e-03,1.339265e-01,1.705029e+00,2.353940e+00,1.417360e+00,9.807169e+00,9.648302e-04,6.883134e-04,3.265122e-05
0.2667,2.758382e-01,2.002796e-03,3.318486e+01,8.500230e-02,7.953658e-02,2.253220e-03,1.735804e-01,2.228668e+00,2.721088e+00,2.194499e+00,1.342866e+01,1.139582e-03,9.738532e-04,3.419506e-05
0.3000,3.455908e-01,1.896139e-03,3.956845e+01,1.077999e-01,1.009908e-01,3.265062e-03,2.232458e-01,2.829558e+00,3.066269e+00,3.256045e+00,1.768407e+01,1.330960e-03,1.324692e-03,3.539908e-05
0.3333,4.213933e-01,1.812081e-03,4.588801e+01,1.327716e-01,1.269802e-01,4.655145e-03,2.838751e-01,3.495435e+00,3.378278e+00,4.646570e+00,2.250747e+01,1.535621e-03,1.742084e-03,3.626165e-05
0.3667,5.027914e-01,1.754730e-03,5.198547e+01,1.597541e-01,1.575720e-01,6.507505e-03,3.558675e-01,4.215088e+00,3.653259e+00,6.406670e+00,2.782955e+01,1.748048e-03,2.223356e-03,3.677284e-05
0.4000,5.893701e-01,1.722608e-03,5.771981e+01,1.885926e-01,1.924540e-01,8.896752e-03,4.387839e-01,4.977064e+00,3.890384e+00,8.570460e+00,3.357557e+01,1.960233e-03,2.760618e-03,3.693276e-05
0.4333,6.807500e-01,1.712311e-03,6.297727e+01,2.191415e-01,2.309515e-01,1.187895e-02,5.313493e-01,5.769644e+00,4.090261e+00,1.116395e+01,3.966612e+01,2.162806e-03,3.340716e-03,3.675903e-05
0.4667,7.765844e-01,1.720192e-03,6.767795e+01,2.512633e-01,2.721349e-01,1.548685e-02,6.316624e-01,6.581418e+00,4.254430e+00,1.420457e+01,4.602037e+01,2.346674e-03,3.946830e-03,3.628668e-05
0.5000,8.765607e-01,1.743007e-03,7.177831e+01,2.848300e-01,3.149618e-01,1.972987e-02,7.374988e-01,7.401984e+00,4.385159e+00,1.770193e+01,5.256030e+01,2.504498e-03,4.560827e-03,3.556294e-05
0.5333,9.803992e-01,1.778083e-03,7.526889e+01,3.197225e-01,3.584019e-01,2.459730e-02,8.465892e-01,8.222423e+00,4.485235e+00,2.165910e+01,5.921419e+01,2.631530e-03,5.165480e-03,3.464070e-05
0.5667,1.087853e+00,1.823281e-03,7.816901e+01,3.558308e-01,4.015272e-01,3.006337e-02,9.568318e-01,9.035532e+00,4.557762e+00,2.607433e+01,6.591906e+01,2.725786e-03,5.746259e-03,3.357259e-05
0.6000,1.198700e+00,1.877193e-03,8.051226e+01,3.930426e-01,4.435396e-01,3.609047e-02,1.066361e+00,9.834748e+00,4.605479e+00,3.094115e+01,7.261863e+01,2.787211e-03,6.290645e-03,3.240646e-05
0.6333,1.312819e+00,1.937649e-03,8.237574e+01,4.312917e-01,4.838772e-01,4.264396e-02,1.173840e+00,1.061836e+01,4.632426e+00,3.625521e+01,7.927233e+01,2.819454e-03,6.796932e-03,3.118402e-05
0.6667,1.430146e+00,2.002772e-03,8.383332e+01,4.705326e-01,5.222475e-01,4.970111e-02,1.278557e+00,1.138993e+01,4.643815e+00,4.202694e+01,8.587796e+01,2.826923e-03,7.265180e-03,2.993883e-05
0.7000,1.550681e+00,2.072685e-03,8.492834e+01,5.106802e-01,5.583842e-01,5.723477e-02,1.379828e+00,1.214480e+01,4.640400e+00,4.825956e+01,9.241626e+01,2.812151e-03,7.691665e-03,2.869574e-05
0.7333,1.674522e+00,2.147219e-03,8.570970e+01,5.516537e-01,5.920754e-01,6.521932e-02,1.477087e+00,1.287864e+01,4.622744e+00,5.495411e+01,9.886211e+01,2.777982e-03,8.075749e-03,2.747320e-05
