Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight,N2O4_source,N2O4_equilibrium,H2O2,plasma_on,O3_mol_L,NO_mol_L,NO2_mol_L,NO3_mol_L,N2O4_mol_L,N2O5_mol_L,HONO_mol_L,HONO2_mol_L
13.0,7768044002238158.0,0.0,370900709623815.25,2025558985007.4087,37724246890.63471,807263576351544.8,1151592.764598608,645810862232847.1,0.9995335022893092,O3_dominant,0.0,equilibrium,37724246890.63471,1553608800447.6316,False,1.2894953043715342e-05,0.0,6.156951779755333e-07,3.3624279151122983e-09,6.262224983845362e-11,1.3400575367435643e-06,1.911643989233689e-15,1.0720460313065263e-06
14.0,8052916004845724.0,0.0,393338874931218.06,2742699252886.4663,42426674535.65041,828394338844887.2,1295141.8636103878,662715472371071.4,0.9995355382719556,O3_dominant,0.0,equilibrium,42426674535.65041,1610583200969.1448,False,1.3367840568043902e-05,0.0,6.52942532385822e-07,4.552880759791534e-09,7.042827972917968e-11,1.3751346024825129e-06,2.1499354935932437e-15,1.1001076841359784e-06
15.0,8304782474285801.0,0.0,426513210906637.6,2248871409008.9814,49885028568.93258,848979412567763.5,1522820.0082647444,679183531577052.2,0.9995398178340392,O3_dominant,0.0,equilibrium,49885028568.93258,1660956494857.1602,False,1.3785938907314429e-05,0.0,7.080119301050184e-07,3.733126538954909e-09,8.280914742442808e-11,1.4093058248624874e-06,2.5278812137194758e-15,1.1274446624179066e-06
16.0,8527073656541411.0,0.0,454518751463038.75,3330315600754.968,56651166921.614624,865022818401031.5,1729367.1659538264,692018256450215.1,0.9995383906408224,O3_dominant,0.0,equilibrium,56651166921.614624,1705414731308.2822,False,1.4154942269858741e-05,0.0,7.545011274286443e-07,5.5283238972532465e-09,9.404093708988027e-11,1.4359378785457123e-06,2.8707494954833517e-15,1.148750305707357e-06
17.0,8727092206624624.0,0.0,496798321371835.4,5283740597509.566,67680800929.84139,880576669872867.8,2066064.3240672187,704461337964383.5,0.9995485186002808,O3_dominant,0.0,equilibrium,67680800929.84139,1745418441324.9248,False,1.4486973062996876e-05,0.0,8.246852134772467e-07,8.771009391865879e-09,1.123501295435367e-10,1.4617572719889603e-06,3.4296667779515828e-15,1.1694058210208766e-06
18.0,8905269133501256.0,0.0,525115105522504.75,7467159042199.76,75616099750.97896,892048087361490.6,2308301.96856791,713638472197520.8,0.999544039840492,O3_dominant,0.0,equilibrium,75616099750.97896,1781053826700.2512,False,1.4782746761612084e-05,0.0,8.716910751673578e-07,1.2395484010051601e-08,1.2552272558662508e-10,1.4807998250200744e-06,3.83178126782273e-15,1.1846398638478844e-06
19.0,9065764552897276.0,0.0,541875861502486.9,9350744044146.25,80520202897.58812,906088476060510.0,2458007.533714193,724870783306442.6,0.9995511121761111,O3_dominant,0.0,equilibrium,80520202897.58812,1813152910579.455,False,1.5049169157809477e-05,0.0,8.995139300941282e-07,1.5522235113282776e-08,1.3366353680999628e-10,1.5041068702604466e-06,4.0802925059655604e-15,1.2032855002886948e-06
20.0,9215168685415390.0,0.0,550856197112739.4,9615363266529.299,83211189291.46591,915667247563240.0,2540154.182520913,732533800590773.6,0.9995443799378332,O3_dominant,0.0,equilibrium,83211189291.46591,1843033737083.078,False,1.5297180017789547e-05,0.0,9.144212872071473e-07,1.5961503022438635e-08,1.3813057422383342e-10,1.5200076309549784e-06,4.216655942984715e-15,1.2160061089806842e-06
21.0,9357741934566070.0,0.0,574119767386358.2,11102002725368.984,90387890421.23985,928718484493617.5,2759234.4233722175,742974790354157.1,0.999543953577986,O3_dominant,0.0,equilibrium,90387890421.23985,1871548386913.214,False,1.5533851611379677e-05,0.0,9.530388138613547e-07,1.8429324524112512e-08,1.5004389809925815e-10,1.541672684259405e-06,4.580329142797881e-15,1.2333381519879008e-06
22.0,9494317745259992.0,0.0,581746384876844.5,11430565041393.453,92805269512.21245,936516569433140.0,2833028.773158087,749213258379569.9,0.999542146180764,O3_dominant,0.0,equilibrium,92805269512.21245,1898863549051.9983,False,1.5760567457131585e-05,0.0,9.656989988955619e-07,1.8974737968713133e-08,1.5405674739027265e-10,1.5546175052590123e-06,4.7028277634424245e-15,1.243694008910086e-06
