3.500E+00	0.0000E+0
3.549E+00	1.4965E-23
3.749E+00	9.6961E-23
3.948E+00	2.6802E-22
4.148E+00	5.2559E-22
4.347E+00	8.5706E-22
4.546E+00	1.2468E-21
4.945E+00	2.1415E-21
6.341E+00	5.4694E-21
7.337E+00	7.4514E-21
8.534E+00	9.2541E-21
1.013E+01	1.0865E-20
1.232E+01	1.2097E-20
1.551E+01	1.2784E-20
2.149E+01	1.2680E-20
5.100E+01	9.5091E-21
7.393E+01	7.8557E-21
1.022E+02	6.5108E-21
1.379E+02	5.3988E-21
1.832E+02	4.4748E-21
2.406E+02	3.7068E-21
3.132E+02	3.0702E-21
4.051E+02	2.5410E-21
5.211E+02	2.1022E-21
6.673E+02	1.7388E-21
8.511E+02	1.4378E-21
1.000E+03	1.2657E-21
